,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,MONTH,DAY,PDO,AMO
0,1944-11-21,0.0,0.0,20.0,52.0,9.0,20.0,11,21,,
1,1944-11-22,0.0,0.0,19.0,48.0,19.0,29.0,11,22,,
2,1944-11-23,0.0,0.0,19.0,56.0,24.0,40.0,11,23,,
3,1944-11-24,0.82,6.0,25.0,52.0,14.0,16.0,11,24,,
4,1944-11-25,0.06,11.0,36.0,26.0,11.0,14.0,11,25,,
5,1944-11-26,0.0,0.0,36.0,29.0,7.0,16.0,11,26,,
6,1944-11-27,0.0,0.0,34.0,37.0,13.0,20.0,11,27,,
7,1944-11-28,0.25,3.0,37.0,44.0,10.0,12.0,11,28,,
8,1944-11-29,0.0,0.0,35.0,44.0,11.0,30.0,11,29,,
9,1944-11-30,0.0,0.0,33.0,38.0,19.0,25.0,11,30,,
10,1944-12-01,0.0,0.0,30.0,40.0,23.0,27.0,12,01,,
11,1944-12-02,0.0,0.0,29.0,48.0,22.0,28.0,12,02,,
12,1944-12-03,0.35,4.0,33.0,29.0,19.0,23.0,12,03,,
13,1944-12-04,0.0,0.0,33.0,24.0,13.0,19.0,12,04,,
14,1944-12-05,0.0,0.0,30.0,36.0,19.0,27.0,12,05,,
15,1944-12-06,0.0,0.0,28.0,42.0,25.0,29.0,12,06,,
16,1944-12-07,0.0,0.0,27.0,45.0,26.0,29.0,12,07,,
17,1944-12-08,0.0,0.0,26.0,43.0,19.0,21.0,12,08,,
18,1944-12-09,0.0,0.0,26.0,31.0,6.0,9.0,12,09,,
19,1944-12-10,0.0,0.0,24.0,24.0,6.0,18.0,12,10,,
20,1944-12-11,0.0,0.0,24.0,38.0,12.0,22.0,12,11,,
21,1944-12-12,0.0,0.0,24.0,39.0,17.0,25.0,12,12,,
22,1944-12-13,0.0,0.0,24.0,38.0,19.0,27.0,12,13,,
23,1944-12-14,0.0,0.0,24.0,43.0,19.0,23.0,12,14,,
24,1944-12-15,0.0,0.0,24.0,42.0,22.0,26.0,12,15,0.2,0.272
25,1944-12-16,0.0,0.0,24.0,44.0,21.0,23.0,12,16,,
26,1944-12-17,0.0,0.0,24.0,39.0,14.0,19.0,12,17,,
27,1944-12-18,0.0,0.0,23.0,29.0,11.0,23.0,12,18,,
28,1944-12-19,0.0,0.0,23.0,40.0,22.0,31.0,12,19,,
29,1944-12-20,0.0,2.0,25.0,44.0,26.0,29.0,12,20,,
30,1944-12-21,1.29,7.0,32.0,31.0,17.0,19.0,12,21,,
31,1944-12-22,0.0,1.0,33.0,35.0,19.0,30.0,12,22,,
32,1944-12-23,1.7,12.0,40.0,37.0,25.0,27.0,12,23,,
33,1944-12-24,0.0,0.0,45.0,31.0,19.0,21.0,12,24,,
34,1944-12-25,0.0,0.0,45.0,30.0,6.0,8.0,12,25,,
35,1944-12-26,0.0,0.0,45.0,37.0,7.0,16.0,12,26,,
36,1944-12-27,0.0,0.0,45.0,34.0,9.0,19.0,12,27,,
37,1944-12-28,0.0,0.0,43.0,42.0,18.0,21.0,12,28,,
38,1944-12-29,2.0,17.0,60.0,42.0,15.0,17.0,12,29,,
39,1944-12-30,1.01,8.0,68.0,41.0,17.0,21.0,12,30,,
40,1944-12-31,0.84,6.0,74.0,41.0,3.0,7.0,12,31,,
41,1945-01-01,0.0,0.0,74.0,29.0,5.0,19.0,01,01,,
42,1945-01-02,0.0,0.0,69.0,29.0,4.0,15.0,01,02,,
43,1945-01-03,0.0,0.0,65.0,31.0,14.0,24.0,01,03,,
44,1945-01-04,0.0,0.0,62.0,33.0,19.0,25.0,01,04,,
45,1945-01-05,0.0,0.0,59.0,46.0,21.0,26.0,01,05,,
46,1945-01-06,0.58,6.0,65.0,39.0,19.0,21.0,01,06,,
47,1945-01-07,0.93,2.0,67.0,29.0,19.0,27.0,01,07,,
48,1945-01-08,0.29,1.5,69.0,34.0,27.0,30.0,01,08,,
49,1945-01-09,0.0,0.0,64.0,40.0,24.0,31.0,01,09,,
50,1945-01-10,0.0,0.0,61.0,51.0,30.0,44.0,01,10,,
51,1945-01-11,0.0,0.0,60.0,44.0,21.0,25.0,01,11,,
52,1945-01-12,0.0,0.0,60.0,35.0,19.0,23.0,01,12,,
53,1945-01-13,0.0,0.1,57.0,48.0,20.0,29.0,01,13,,
54,1945-01-14,0.0,0.0,58.0,45.0,25.0,27.0,01,14,,
55,1945-01-15,0.0,0.0,58.0,44.0,22.0,38.0,01,15,-1.02,0.258
56,1945-01-16,1.25,7.0,65.0,38.0,19.0,26.0,01,16,,
57,1945-01-17,0.0,0.0,65.0,32.0,12.0,15.0,01,17,,
58,1945-01-18,0.25,2.0,67.0,39.0,13.0,21.0,01,18,,
59,1945-01-19,0.0,0.0,67.0,34.0,3.0,4.0,01,19,,
60,1945-01-20,0.0,0.0,64.0,35.0,3.0,13.0,01,20,,
61,1945-01-21,0.0,0.0,62.0,29.0,5.0,8.0,01,21,,
62,1945-01-22,0.0,0.0,60.0,31.0,8.0,18.0,01,22,,
63,1945-01-23,0.0,0.0,60.0,36.0,15.0,18.0,01,23,,
64,1945-01-24,0.0,0.0,60.0,40.0,13.0,15.0,01,24,,
65,1945-01-25,0.0,0.0,58.0,34.0,10.0,21.0,01,25,,
66,1945-01-26,0.0,0.0,58.0,36.0,14.0,25.0,01,26,,
67,1945-01-27,0.0,0.0,56.0,34.0,8.0,12.0,01,27,,
68,1945-01-28,0.0,0.0,56.0,24.0,6.0,11.0,01,28,,
69,1945-01-29,0.0,0.0,56.0,28.0,9.0,17.0,01,29,,
70,1945-01-30,0.0,0.0,56.0,34.0,11.0,18.0,01,30,,
71,1945-01-31,0.0,0.0,56.0,29.0,15.0,24.0,01,31,,
