,ds,TMAX_30avg,TMIN_30avg,TOBS_30avg,PDO,AMO,y,PRCP
0,1944-11-21,40.749443057473975,23.200133339608726,30.960981149864658,-0.48,0.272,0.0,0.0
1,1944-11-22,40.36866063688862,22.847987243950552,30.582609109838373,-0.48,0.272,0.0,0.0
2,1944-11-23,39.92643304415581,22.459287733206114,30.114456481296283,-0.48,0.272,0.0,0.0
3,1944-11-24,39.52406694192093,22.04213327079275,29.677998994081292,-0.48,0.272,0.0,0.82
4,1944-11-25,39.166797433314485,21.6868019417794,29.277084766303346,-0.48,0.272,0.0,0.06
5,1944-11-26,38.735601740251504,21.2735442751745,28.81590050814565,-0.48,0.272,0.0,0.0
6,1944-11-27,38.319137622572775,20.8536358798299,28.318317603575267,-0.48,0.272,0.0,0.0
7,1944-11-28,38.03410451242548,20.544985688919862,28.069390030108167,-0.48,0.272,0.0,0.25
8,1944-11-29,37.734548770319165,20.262740011345787,27.755190859842273,-0.48,0.272,0.0,0.0
9,1944-11-30,37.41448345678373,19.970099840179298,27.411574371242846,-0.48,0.272,0.0,0.0
10,1944-12-01,37.336956853848264,19.823773370129356,27.362703784050144,-0.48,0.272,0.0,0.0
11,1944-12-02,37.168432191221065,19.70607599737507,27.22347733528948,-0.48,0.272,0.0,0.0
12,1944-12-03,36.88929327801196,19.47354036152647,26.977325772876878,-0.48,0.272,0.0,0.35
13,1944-12-04,36.66360554204044,19.254576691966992,26.763525535618854,-0.48,0.272,0.0,0.0
14,1944-12-05,36.34753790959792,18.937182782521496,26.428490990544873,-0.48,0.272,0.0,0.0
15,1944-12-06,35.96971411597002,18.641968088473423,26.08106947304609,-0.48,0.272,0.0,0.0
16,1944-12-07,35.673053027074914,18.342774331870324,25.77623711477499,-0.48,0.272,0.0,0.0
17,1944-12-08,35.36546977507123,18.076082194230953,25.481017154996206,-0.48,0.272,0.0,0.0
18,1944-12-09,35.09291013609865,17.826780281815132,25.223991011205346,-0.48,0.272,0.0,0.0
19,1944-12-10,34.927385583488615,17.600451880738962,25.025532787760035,-0.48,0.272,0.0,0.0
20,1944-12-11,34.69620648349614,17.323052683512174,24.743512278406868,-0.48,0.272,0.0,0.0
21,1944-12-12,34.43359127535739,17.06997396129897,24.471340050916837,-0.48,0.272,0.0,0.0
22,1944-12-13,34.18233966704935,16.808254272274567,24.168279529322575,-0.48,0.272,0.0,0.0
23,1944-12-14,33.93412016853044,16.525706003977035,23.90871240479006,-0.48,0.272,0.0,0.0
24,1944-12-15,33.746974490936566,16.317265670576088,23.70735682506458,-0.48,0.272,0.0,0.0
