,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,MONTH,DAY,PDO,AMO
0,1944-11-21,0.0,0.0,20.0,52.0,9.0,20.0,11,21,-0.48,0.272
1,1944-11-22,0.0,0.0,19.0,48.0,19.0,29.0,11,22,-0.48,0.272
2,1944-11-23,0.0,0.0,19.0,56.0,24.0,40.0,11,23,-0.48,0.272
3,1944-11-24,0.82,6.0,25.0,52.0,14.0,16.0,11,24,-0.48,0.272
4,1944-11-25,0.06,11.0,36.0,26.0,11.0,14.0,11,25,-0.48,0.272
5,1944-11-26,0.0,0.0,36.0,29.0,7.0,16.0,11,26,-0.48,0.272
6,1944-11-27,0.0,0.0,34.0,37.0,13.0,20.0,11,27,-0.48,0.272
7,1944-11-28,0.25,3.0,37.0,44.0,10.0,12.0,11,28,-0.48,0.272
8,1944-11-29,0.0,0.0,35.0,44.0,11.0,30.0,11,29,-0.48,0.272
9,1944-11-30,0.0,0.0,33.0,38.0,19.0,25.0,11,30,-0.48,0.272
10,1944-12-01,0.0,0.0,30.0,40.0,23.0,27.0,12,01,-0.48,0.272
11,1944-12-02,0.0,0.0,29.0,48.0,22.0,28.0,12,02,-0.48,0.272
12,1944-12-03,0.35,4.0,33.0,29.0,19.0,23.0,12,03,-0.48,0.272
13,1944-12-04,0.0,0.0,33.0,24.0,13.0,19.0,12,04,-0.48,0.272
14,1944-12-05,0.0,0.0,30.0,36.0,19.0,27.0,12,05,-0.48,0.272
15,1944-12-06,0.0,0.0,28.0,42.0,25.0,29.0,12,06,-0.48,0.272
16,1944-12-07,0.0,0.0,27.0,45.0,26.0,29.0,12,07,-0.48,0.272
17,1944-12-08,0.0,0.0,26.0,43.0,19.0,21.0,12,08,-0.48,0.272
18,1944-12-09,0.0,0.0,26.0,31.0,6.0,9.0,12,09,-0.48,0.272
19,1944-12-10,0.0,0.0,24.0,24.0,6.0,18.0,12,10,-0.48,0.272
20,1944-12-11,0.0,0.0,24.0,38.0,12.0,22.0,12,11,-0.48,0.272
21,1944-12-12,0.0,0.0,24.0,39.0,17.0,25.0,12,12,-0.48,0.272
22,1944-12-13,0.0,0.0,24.0,38.0,19.0,27.0,12,13,-0.48,0.272
23,1944-12-14,0.0,0.0,24.0,43.0,19.0,23.0,12,14,-0.48,0.272
24,1944-12-15,0.0,0.0,24.0,42.0,22.0,26.0,12,15,-0.48,0.272
25,1944-12-16,0.0,0.0,24.0,44.0,21.0,23.0,12,16,-0.46741935483870967,0.2715483870967742
26,1944-12-17,0.0,0.0,24.0,39.0,14.0,19.0,12,17,-0.45483870967741935,0.2710967741935484
27,1944-12-18,0.0,0.0,23.0,29.0,11.0,23.0,12,18,-0.44225806451612903,0.2706451612903226
28,1944-12-19,0.0,0.0,23.0,40.0,22.0,31.0,12,19,-0.4296774193548387,0.2701935483870968
29,1944-12-20,0.0,2.0,25.0,44.0,26.0,29.0,12,20,-0.4170967741935484,0.269741935483871
30,1944-12-21,1.29,7.0,32.0,31.0,17.0,19.0,12,21,-0.40451612903225803,0.26929032258064517
31,1944-12-22,0.0,1.0,33.0,35.0,19.0,30.0,12,22,-0.3919354838709677,0.26883870967741935
32,1944-12-23,1.7,12.0,40.0,37.0,25.0,27.0,12,23,-0.3793548387096774,0.2683870967741936
33,1944-12-24,0.0,0.0,45.0,31.0,19.0,21.0,12,24,-0.3667741935483871,0.26793548387096777
34,1944-12-25,0.0,0.0,45.0,30.0,6.0,8.0,12,25,-0.35419354838709677,0.26748387096774195
35,1944-12-26,0.0,0.0,45.0,37.0,7.0,16.0,12,26,-0.3416129032258064,0.26703225806451614
36,1944-12-27,0.0,0.0,45.0,34.0,9.0,19.0,12,27,-0.3290322580645161,0.2665806451612903
37,1944-12-28,0.0,0.0,43.0,42.0,18.0,21.0,12,28,-0.31645161290322577,0.26612903225806456
